bxoooa $[biáng]$FILE(mb\xkjd6\biang.bmp)
oojp $GO([键盘图],skin\xkjd6_keymap.png)
oomb $GO([在线码表简洁版],https://docs.qq.com/form/fill/DRWlwcUplU3dzaEFq#/fill/resubmit)
oomb $GO([在线码表完整版],https://docs.qq.com/sheet/BFdiXU0nyc1W1kwuZl3Gx31r2KLm2k3F8YzI4)

oyk ①
oxj ②
osf ③
osk ④
owj ⑤
olq ⑥
oqk ⑦
obs ⑧
ojq ⑨
oek ⑩
